dataset,n,error,trie+suffixes bytes,trie bytes,nodes,ns/lookup
az-words_truncated20.txt,895612,950,4660,2001,618,225
az-words_truncated20.txt,895612,960,4717,1992,617,225
az-words_truncated20.txt,895612,970,4612,1975,608,257
az-words_truncated20.txt,895612,980,4519,1963,604,223
az-words_truncated20.txt,895612,990,4498,1931,596,225
az-words_truncated20.txt,895612,1000,4509,1919,588,224
az-words_truncated20.txt,895612,1100,4009,1811,540,222
az-words_truncated20.txt,895612,1200,3922,1694,499,217
az-words_truncated20.txt,895612,1300,3448,1551,460,226
az-words_truncated20.txt,895612,1400,3292,1487,428,214
az-words_truncated20.txt,895612,1500,3150,1411,400,222
az-words_truncated20.txt,895612,1600,3183,1360,372,206
az-words_truncated20.txt,895612,1700,2948,1315,351,215
az-words_truncated20.txt,895612,1800,2729,1249,322,196
az-words_truncated20.txt,895612,1900,2757,1226,315,213
az-words_truncated20.txt,895612,2000,2632,1197,301,211
az-words_truncated20.txt,895612,2100,2499,1144,281,192
az-words_truncated20.txt,895612,2200,2374,1122,270,193
az-words_truncated20.txt,895612,2300,2266,1100,260,200
az-words_truncated20.txt,895612,2400,2287,1074,250,191
az-words_truncated20.txt,895612,2500,2155,1052,240,191
az-words_truncated20.txt,895612,2600,2118,1035,231,188
az-words_truncated20.txt,895612,2700,2103,994,214,188
az-words_truncated20.txt,895612,2800,1943,962,210,179
az-words_truncated20.txt,895612,2900,1963,948,205,182
az-words_truncated20.txt,895612,3000,1919,933,198,181
az-words_truncated20.txt,895612,3100,1793,921,188,185
az-words_truncated20.txt,895612,3200,1884,905,180,171
az-words_truncated20.txt,895612,3300,1723,901,181,178
az-words_truncated20.txt,895612,3400,1809,889,172,174
az-words_truncated20.txt,895612,3500,1709,878,165,201
az-words_truncated20.txt,895612,3600,1716,870,162,168
az-words_truncated20.txt,895612,3700,1648,862,157,165
az-words_truncated20.txt,895612,3800,1725,850,153,166
az-words_truncated20.txt,895612,3900,1570,826,150,223
az-words_truncated20.txt,895612,4000,1568,820,143,161
az-words_truncated20.txt,895612,4100,1496,815,143,161
az-words_truncated20.txt,895612,4200,1543,804,136,166
az-words_truncated20.txt,895612,4300,1558,799,134,172
az-words_truncated20.txt,895612,4400,1459,793,131,162
az-words_truncated20.txt,895612,4500,1465,789,129,157
az-words_truncated20.txt,895612,4600,1471,782,125,160
az-words_truncated20.txt,895612,4700,1427,780,124,173
az-words_truncated20.txt,895612,4800,1456,775,122,157
az-words_truncated20.txt,895612,4900,1385,764,116,151
az-words_truncated20.txt,895612,5000,1375,766,117,184
az-words_truncated20.txt,895612,5100,1368,759,113,201
az-words_truncated20.txt,895612,5200,1350,756,111,153
az-words_truncated20.txt,895612,5300,1351,753,111,153
az-words_truncated20.txt,895612,5400,1317,744,107,153
az-words_truncated20.txt,895612,5500,1278,744,107,177
az-words_truncated20.txt,895612,5600,1276,741,104,153
az-words_truncated20.txt,895612,5700,1297,735,102,152
az-words_truncated20.txt,895612,5800,1280,733,101,151
az-words_truncated20.txt,895612,5900,1179,721,100,168
